key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
85,2,243145,32,"bottle of crucible eye drops",0,"bottles of crucible eye drops",0,0,1,0,0,"Crucible Eye Drops","Instantly cures most instances of blindness for self or familiar, restoring 25% of maximum HP upon success.
※Can only be used on Crucible battlegrounds.",""
86,2,243146,32,"phial of G1 antipoison soul serum",0,"phials of G1 antipoison soul serum",0,0,1,0,0,"G1 Antipoison Soul Serum","Increases poison resistance by 100% for self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 180s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",""
87,2,243147,50,"phial of G2 antipoison soul serum",0,"phials of G2 antipoison soul serum",0,0,1,0,0,"G2 Antipoison Soul Serum","Increases poison resistance by 100% for self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 300s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",""
88,2,243148,32,"phial of G1 antiparalysis soul serum",0,"phials of G1 antiparalysis soul serum",0,0,1,0,0,"G1 Antiparalysis Soul Serum","Increases paralysis resistance by 100% for self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 180s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",""
89,2,243149,50,"phial of G2 antiparalysis soul serum",0,"phials of G2 antiparalysis soul serum",0,0,1,0,0,"G2 Antiparalysis Soul Serum","Increases paralysis resistance by 100% for self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 300s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",""
90,2,243150,32,"phial of G1 antiblind soul serum",0,"phials of G1 antiblind soul serum",0,0,1,0,0,"G1 Antiblind Soul Serum","Increases blind resistance by 100% for self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 180s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",""
91,2,243151,50,"phial of G2 antiblind soul serum",0,"phials of G2 antiblind soul serum",0,0,1,0,0,"G2 Antiblind Soul Serum","Increases blind resistance by 100% for self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 300s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",""
92,2,243152,32,"phial of G1 antipetrification soul serum",0,"phials of G1 antipetrification soul serum",0,0,1,0,0,"G1 Antipetrification Soul Serum","Increases petrification resistance by 100% for self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 180s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",""
93,2,243153,50,"phial of G2 antipetrification soul serum",0,"phials of G2 antipetrification soul serum",0,0,1,0,0,"G2 Antipetrification Soul Serum","Increases petrification resistance by 100% for self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 300s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",""
94,2,243154,32,"phial of G1 antisleep soul serum",0,"phials of G1 antisleep soul serum",0,0,1,0,0,"G1 Antisleep Soul Serum","Increases sleep resistance by 100% for self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 180s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",""
95,2,243155,50,"phial of G2 antisleep soul serum",0,"phials of G2 antisleep soul serum",0,0,1,0,0,"G2 Antisleep Soul Serum","Increases sleep resistance by 100% for self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 300s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",""
96,2,243156,135,"blessed horn",0,"blessed horns",0,0,1,0,0,"Blessed Horn","Revives an incapacitated familiar.
※Can only be used while traversing a Crucible board.",""
97,2,243157,85,"beastly smokebomb",0,"beastly smokebombs",0,0,1,0,0,"Beastly Smokebomb","Creates a distraction, allowing escape from battle. Ineffective against elite enemies and bosses.
Use by selecting “Flee” upon an enemy space.",""
98,2,243158,221,"G1 beastmaster reraiser",0,"G1 beastmaster reraisers",0,0,1,0,0,"G1 Beastmaster Reraiser","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Reraise<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Reraise Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 70% chance of automatic revival upon KO",""
99,2,243159,299,"G2 beastmaster reraiser",0,"G2 beastmaster reraisers",0,0,1,0,0,"G2 Beastmaster Reraiser","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Reraise<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Reraise Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 95% chance of automatic revival upon KO",""
100,2,243160,32,"thief's eye",0,"thief's eyes",0,0,1,0,0,"Thief's Eye","Triples the loot drop rate for the next enemy space cleared.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30m
※Can only be used on Crucible battlegrounds.",""
101,2,243161,23,"merchant's eye",0,"merchant's eyes",0,0,1,0,0,"Merchant's Eye","Doubles the territory tokens earned for the next enemy space cleared.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30m
※Can only be used on Crucible battlegrounds.",""
102,2,243162,47,"phial of crucible tannin",0,"phials of crucible tannin",0,0,1,0,0,"Crucible Tannin","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Tough Skin<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tough Skin Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Reduces damage taken by 20%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 60s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying an ice shield, duration increases to 90s
※Can only be used on Crucible battlegrounds.",""
103,2,243163,43,"phial of crucible stimulant",0,"phials of crucible stimulant",0,0,1,0,0,"Crucible Stimulant","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Hasty Spirit<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Hasty Spirit Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 15%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 60s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying thief's gloves, duration increases to 90s
※Can only be used on Crucible battlegrounds.",""
104,2,243164,36,"potion of tempered strength",0,"potions of tempered strength",0,0,1,0,0,"Potion of Tempered Strength","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Liquid Strength<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Liquid Strength Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases physical damage dealt by 30%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
105,2,243165,88,"potion of feral strength",0,"potions of feral strength",0,0,1,0,0,"Potion of Feral Strength","Inflicts <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Stun<UIGlow>01</UIGlow><UIForeground>01</UIForeground> while also granting <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Liquid Strength<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Stun Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Liquid Strength Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases physical damage dealt by 45%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30s
※Can only be used on Crucible battlegrounds.",""
106,2,243166,23,"potion of tempered magic",0,"potions of tempered magic",0,0,1,0,0,"Potion of Tempered Magic","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Liquid Magic<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Liquid Magic Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases magic damage dealt by 30%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
107,2,243167,50,"potion of feral magic",0,"potions of feral magic",0,0,1,0,0,"Potion of Feral Magic","Inflicts <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Nightmare<UIGlow>01</UIGlow><UIForeground>01</UIForeground> while also granting <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Liquid Magic<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Nightmare Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Liquid Magic Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases magic damage dealt by 50%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30s
※Can only be used on Crucible battlegrounds.",""
108,2,243168,20,"potion of tempered intensity",0,"potions of tempered intensity",0,0,1,0,0,"Potion of Tempered Intensity","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Liquid Intensity<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Liquid Intensity Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases critical hit rate by 30%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying silver specs, duration increases to 60s
※Can only be used on Crucible battlegrounds.",""
109,2,243169,36,"potion of feral intensity",0,"potions of feral intensity",0,0,1,0,0,"Potion of Feral Intensity","Inflicts <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Petrification<UIGlow>01</UIGlow><UIForeground>01</UIForeground> while also granting <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Liquid Intensity<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Petrification Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Liquid Intensity Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases critical hit rate by 50%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying silver specs, duration increases to 60s
※Can only be used on Crucible battlegrounds.",""
110,2,243170,21,"potion of tempered evasion",0,"potions of tempered evasion",0,0,1,0,0,"Potion of Tempered Evasion","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Liquid Evasion<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Liquid Evasion Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases evasion by 25%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30s
※Can only be used on Crucible battlegrounds.",""
111,2,243171,36,"potion of feral evasion",0,"potions of feral evasion",0,0,1,0,0,"Potion of Feral Evasion","Inflicts <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Blind<UIGlow>01</UIGlow><UIForeground>01</UIForeground> while also granting <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Liquid Evasion<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Blind Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Liquid Evasion Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases evasion by 25%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 60s
※Can only be used on Crucible battlegrounds.",""
112,2,243172,95,"potion of tempered constitution",0,"potions of tempered constitution",0,0,1,0,0,"Potion of Tempered Constitution","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Liquid Constitution<UIGlow>01</UIGlow><UIForeground>01</UIForeground> while also restoring 10% of HP to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Liquid Constitution Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases maximum HP by 20%
Effect ends upon combat completion.
※Can only be used on Crucible battlegrounds.",""
113,2,243173,140,"potion of feral constitution",0,"potions of feral constitution",0,0,1,0,0,"Potion of Feral Constitution","Inflicts <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Pollen<UIGlow>01</UIGlow><UIForeground>01</UIForeground> while also granting <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Liquid Constitution<UIGlow>01</UIGlow><UIForeground>01</UIForeground> and restoring 10% of HP to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Pollen Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 180s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Liquid Constitution Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases maximum HP by 30%
Effect ends upon combat completion.
※Can only be used on Crucible battlegrounds.",""
114,2,243174,225,"potion of breathtaking swiftness",0,"potions of breathtaking swiftness",0,0,1,0,0,"Potion of Breathtaking Swiftness","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Spirit of the Breathtaker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Spirit of the Breathtaker Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases movement speed by 20%, evasion by 5%, and poison resistance by 100%
Effect ends upon combat completion.
※Can only be used on Crucible battlegrounds.",""
115,2,243175,43,"crucible feather",0,"crucible feathers",0,0,1,0,0,"Crucible Feather","Grants 100 TP to self or familiar.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> When carrying a spirited ring, grants 250 TP
※Can only be used on Crucible battlegrounds.",""
116,2,243176,47,"bottle of G1 wildfire weakener",0,"bottles of G1 wildfire weakener",0,0,1,0,0,"G1 Wildfire Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Fire<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Fire Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 50% chance to absorb fire damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
117,2,243177,95,"bottle of G2 wildfire weakener",0,"bottles of G2 wildfire weakener",0,0,1,0,0,"G2 Wildfire Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Fire<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Fire Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 70% chance to absorb fire damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
118,2,243178,47,"bottle of G1 wildwave weakener",0,"bottles of G1 wildwave weakener",0,0,1,0,0,"G1 Wildwave Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Water<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Water Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 50% chance to absorb water damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
119,2,243179,95,"bottle of G2 wildwave weakener",0,"bottles of G2 wildwave weakener",0,0,1,0,0,"G2 Wildwave Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Water<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Water Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 70% chance to absorb water damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
120,2,243180,47,"bottle of G1 wildearth weakener",0,"bottles of G1 wildearth weakener",0,0,1,0,0,"G1 Wildearth Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Earth<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Earth Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 50% chance to absorb earth damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
121,2,243181,95,"bottle of G2 wildearth weakener",0,"bottles of G2 wildearth weakener",0,0,1,0,0,"G2 Wildearth Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Earth<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Earth Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 70% chance to absorb earth damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
122,2,243182,47,"bottle of G1 wildthunder weakener",0,"bottles of G1 wildthunder weakener",0,0,1,0,0,"G1 Wildthunder Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Thunder<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Thunder Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 50% chance to absorb lightning damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
123,2,243183,95,"bottle of G2 wildthunder weakener",0,"bottles of G2 wildthunder weakener",0,0,1,0,0,"G2 Wildthunder Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Thunder<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Thunder Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 70% chance to absorb lightning damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
124,2,243184,47,"bottle of G1 wildgale weakener",0,"bottles of G1 wildgale weakener",0,0,1,0,0,"G1 Wildgale Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Wind<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Wind Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 50% chance to absorb wind damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
125,2,243185,95,"bottle of G2 wildgale weakener",0,"bottles of G2 wildgale weakener",0,0,1,0,0,"G2 Wildgale Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Wind<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Wind Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 70% chance to absorb wind damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
126,2,243186,47,"bottle of G1 wildfreeze weakener",0,"bottles of G1 wildfreeze weakener",0,0,1,0,0,"G1 Wildfreeze Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Ice<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Ice Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 50% chance to absorb ice damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
127,2,243187,95,"bottle of G2 wildfreeze weakener",0,"bottles of G2 wildfreeze weakener",0,0,1,0,0,"G2 Wildfreeze Weakener","Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Through Ice<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to self and nearby allies.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Through Ice Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 70% chance to absorb ice damage as HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
※Can only be used on Crucible battlegrounds.",""
128,2,243188,45,"fang of fire",0,"fangs of fire",0,0,1,0,0,"Fang of Fire","Deals ranged fire damage with a potency of 2,500 to target and all enemies within 12 yalms of it.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Targets suffering from <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Deep Freeze<UIGlow>01</UIGlow><UIForeground>01</UIForeground> receive additional damage with a potency of 1,000
Damage is affected by magic damage increase effects of other beast gear, items, or abilities.
※Can only be used on Crucible battlegrounds.",""
129,2,243189,45,"fang of ice",0,"fangs of ice",0,0,1,0,0,"Fang of Ice","Deals ranged ice damage with a potency of 2,000 to target and all enemies within 12 yalms of it.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Afflicts target with <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Deep Freeze<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 20s
Damage is affected by magic damage increase effects of other beast gear, items, and abilities.
※Can only be used on Crucible battlegrounds.",""
